"id_vente","date_vente","magasin_code","magasin_nom","categorie_produit","produit_nom","mode_paiement","quantite","prix_unitaire","cout_unitaire","remise_pct","client_type","vendeur_id"
1,"23/11/2024","GOM","Kawa Market – Gombe","AUTRES","Sac réutilisable","Cash",3,"2.34","1.65",10,"Particulier","V038"
2,"14 janvier 2024","LIM","Kawa Market – Limete","AUTRES","Sac réutilisable","CASH",10,"1.20","0.91",0,"","V022"
3,"13/07/2024","MAS","Kawa Market – Masina","EPICERIE","Huile végétale 1L","cash",8,"6.29","4.98",5,"Particulier","V036"
4,"8 avril 2024","GOM","Kawa Market – Gombe","CAFÉ & THÉ","Café moulu 500g","Mobile Money",4,"7.47","4.59",5,"","V011"
5,"27/11/2024","KIN","Kawa Market – Kintambo","AUTRES","Pile AA (pack 4)","carte",4,"0.91","0.56",NULL,"","V021"
6,"2024-06-10","MAS","Kawa Market – Masina","CAFÉ & THÉ","Café moulu 500g","carte",6,"4.85","3.15",NULL,"","V010"
7,"2024-10-26","KIN","Kawa Market – Kintambo","FRAIS","Lait frais 1L","Cash",9,"1.68","1.22",0,"Corporate","V011"
8,"27 août 2024","MAS","Kawa Market – Masina","HYGIENE","Savon de toilette","",2,"2.89","1.91",0,"","V008"
9,"14 mai 2024","LIM","Kawa Market – Limete","HYGIENE","Savon de toilette","Carte",11,"2.28","1.28",0,"Corporate","V035"
10,"07/09/2024","GOM","Kawa Market – Gombe","EPICERIE","Huile végétale 1L","Cash",4,"9.02","7.07",0,"","V005"
11,"08/10/2024","MAS","Kawa Market – Masina","HYGIENE","Papier hygiénique 4 rouleaux","Mobile Money",9,"3.14","2.22",NULL,"","V026"
12,"02/03/2024","LIM","Kawa Market – Limete","CAFÉ & THÉ","Thé noir sachets","cash",9,"4.92","2.79",0,"Particulier","V015"
13,"22 mai 2024","MAT","Kawa Market – Matete","BOISSONS","Soda 50cl","carte",10,"1.21","0.89",5,"Corporate","V007"
14,"28 janvier 2024","NGA","Kawa Market – Ngaliema","AUTRES","Pile AA (pack 4)","CASH",12,"1.35","1.02",0,"Corporate","V013"
