id_transaction,date_vente,code_magasin,nom_magasin,categorie,nom_produit,mode_paiement,quantite,prix_unitaire,cout_unitaire,reduction,type_client,code_vendeur,ca,marge_brute
5461,2024-01-01,KIN,Kawa Market – Kintambo,HYGIENE,Dentifrice 100ml,Carte,12,0.65,0.52,0,Corporate,V004,7.800000000000001,1.56
2841,2024-01-01,MAT,Kawa Market – Matete,AUTRES,Sac réutilisable,Mobile Money,7,2.24,1.43,5,,V024,15.680000000000001,5.670000000000002
4343,2024-01-01,KIN,Kawa Market – Kintambo,FRAIS,Lait frais 1L,Cash,9,1.48,1.09,10,,V023,13.32,3.509999999999999
7797,2024-01-01,KIN,Kawa Market – Kintambo,CAFÉ & THÉ,Café moulu 500g,Mobile Money,3,6.55,3.37,10,,V030,19.65,9.54
3951,2024-01-01,GOM,Kawa Market – Gombe,BOISSONS,Boisson énergisante 33cl,Carte,10,1.45,0.98,0,,V009,14.5,4.699999999999999
1157,2024-01-01,LIM,Kawa Market – Limete,BOISSONS,"Eau 1,5L",Mobile Money,9,1.27,0.79,,Particulier,V011,11.43,4.32
3787,2024-01-01,GOM,Kawa Market – Gombe,BOISSONS,Soda 50cl,Carte,7,1.11,0.58,10,Particulier,V033,7.7700000000000005,3.710000000000001
3344,2024-01-01,LIM,Kawa Market – Limete,BOISSONS,Boisson énergisante 33cl,Carte,2,1.69,0.88,0,,V031,3.38,1.6199999999999999
1965,2024-01-01,MAS,Kawa Market – Masina,EPICERIE,Huile végétale 1L,Cash,7,2.8,1.73,10,,V001,19.599999999999998,7.489999999999998
5683,2024-01-01,NGA,Kawa Market – Ngaliema,FRAIS,Lait frais 1L,Carte,1,1.93,0.99,,,V032,1.93,0.94
1785,2024-01-01,NGA,Kawa Market – Ngaliema,FRAIS,Fromage local 200g,Carte,7,2.15,1.63,5,Corporate,V040,15.049999999999999,3.64
3232,2024-01-01,MAT,Kawa Market – Matete,CAFÉ & THÉ,Thé citron 25 sachets,Cash,12,4.94,3.72,0,Particulier,V015,59.28,14.640000000000002
